Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
05/12/2015,Money transfers,International money transfer,Other transaction issues,,"I order an item ( XXXX ) via online on a website ( XXXX ) which is operated by lucky way trading limited ( with email XXXXXXXXXXXX ) but my order did not came. 
I waited for it for almost a month but still it did n't came. 
I paid them via paypal, but since the item did not came i contacted the seller regarding this matter. This seller gave me the tracking number of the item but when i checked it on our local post office here in XXXX they confirmed that it was reshipped back to the sender ( which is the seller ), at first the seller replied thru email but insisted that it was delivered, but after a few exchange of emails the seller had confirmed and send me an email that the item was reshipped back to them and also confirmed it from our local post office via the tracking number they have given me that it was reshipped back to the seller, with this the seller asked me if i want it to be reshipped back to me but i refused and asked for a refund instead, but after that email that i want a refund the seller had ceased and stop replying my emails, i even tried contacting the seller via telephone but they do n't answer anymore without refunding me. 
with this action that the seller had shown i complained to paypal ( which where i made the payment but paypal had just closed my complain because the seller gave them a tracking number which is still not updated during the review of paypal that said it was delivered to me, but paypal did not asked the seller if it was resend back to them because if paypal just checked the tracking number many times they can see in there that it was resend back to the seller ). 
Paypal closed my dispute and adviced me to communicate to the seller, which i tried many times but the seller did not answered any of my emails and calls and it seems had no plan of refunding me. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",,,,Consent provided,Web,05/12/2015,Closed with monetary relief,Yes,No,1371502
04/27/2015,Money transfers,International money transfer,Fraud or scam,,"I was a victim of fraud. Was leasing a home through XXXX. I sent a deposit of {$100.00} to the person leasing the home but the more I verified the more I realized he was a fake person. Moneygram needs to have better verification and require IDs. I lost {$100.00} to this person who listed a home on XXXX. The address is XXXX XXXX XXXX. XXXX, WA. The man claimed to be named XXXX XXXX. His phone number is XXXX. The man says he lives in XXXX and was renting out his home. But the home is not his from what I can tell. 
",,MoneyGram,FL,338XX,,Consent provided,Web,04/27/2015,Closed with explanation,Yes,No,1348289
05/15/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"Google wallet allowed a cancelled payment to come out of my account without my authorization. They need to return this money to me as it was in my account period. 
",,Google Inc.,PA,155XX,,Consent provided,Web,05/15/2015,Closed with explanation,No,Yes,1377108
05/27/2015,Money transfers,Domestic (US) money transfer,Money was not available when promised,,"On XXXX XXXX, 2015 I received {$11.00} for XXXX for making several online purchases. 
On XXXX XXXX, I requested that PayPal transfer {$11.00} in my PayPal acct to my XXXX XXXX Checking acct. 
PayPal states that the money will be sent in XXXX5 business days. 
As of the date of this complaint, no money has been transferred into my XXXX XXXX Checking acct. 
Paypal email address is XXXXXXXXXXXX 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",VA,201XX,,Consent provided,Web,05/27/2015,Closed with explanation,Yes,No,1393576
05/06/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"I was sold patio furniture by XXXX and I find it to be sub-par. I want a refund to replace the faded cushions and ripped and torn covers. Below is my correspondence with the company, and the transaction details ( plus an additional {$130.00} they charged me for patios covers- see pictures attached ). 
Dear XXXX, How long do you think this outdoor set will last under normal conditions? 

Thank you. 

- XXXX XXXX, The frame is powder coated aluminum so it will not rust. We sell outdoor storage covers to help protect the furniture. I would recommend putting it inside somewhere during winter months to help the longevity of the product. If you take all these steps there is no reason this furniture will not last years and years. 

- XXXX XXXX, Attached are pictures of the patio set I bought from you 9 months ago. I had to order the 'covers ' from you because the red cushions I ordered turned pink in the sun the first day. They are so bad now, I just leave the furniture covered ; I will probably have to buy expensive fabric paint and paint them so they are not such an embarrassment. The covers are completely and utterly worthless ; they tear like tissue paper. I live in downtown XXXX XXXX where it rarely rains, there is no wind, and the average temperature is XXXX degrees. There is no snow or thunderstorms. For the money I spent, I am very, very, very disappointed in the product you sold me. 
XXXX XXXX XXXXPaid withVISA x-XXXXYou 'll see "" PAYPAL XXXX '' on your card statement. 
Shipped toXXXX XXXXXXXX XXXX XXXX, CA XXXXUnited StatesTrack your shipmentXXXXXXXX XXXX, Marked as shippedStatus : ShippedTransaction XXXX infoXXXX XXXX ( XXXX ) XXXXXXXXXXXX to XXXX XXXX red cushions, please. Any issues, please do not hesitate to contact me. Thanks again, XXXX XXXXYour purchaseXXXX PC Modern Outdoor All Weather Wicker Rattan Patio Set Sectional Sofa Furniture $ XXXXItem # XXXXShipping $ XXXXTax $ 0.00Purchase total $ XXXXFee $ 0.00Total {$1100.00} 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",CA,921XX,,Consent provided,Web,05/06/2015,Closed with explanation,Yes,No,1363680
05/20/2015,Money transfers,International money transfer,Money was not available when promised,,"On XXXX XXXX, 2015 I initiated a money transfer Bank to Bank from my bank ( SunTrust ) to a bank in XXXX XXXX ( XXXX ) in the amount of {$38000.00}. On XXXX XXXX, 2015 I sent another transfer to the same bank in the amount of {$35000.00}. I was informed that the funds would be available by XXXX XXXX, 2015. To date the funds have not been released and the bank refuses to give an explanation as to why it is holding the funds. In view of this I want my money refunded immedately. 
",Company chooses not to provide a public response,"SunTrust Banks, Inc.",NC,272XX,Older American,Consent provided,Web,05/20/2015,Closed with explanation,Yes,No,1385798
05/18/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"I received a {$35.00} NSF charge from XXXX. I have checked out of "" Overdraft Protection '' at XXXX to stop these NSF charges. I utilize a low balance account/debit card to pay for items that I purchase online. If the card/account were to be "" compromised '' the hackers would not get much/anything. 

On XXXX XXXX, 2015, I received a {$36.00} NSF charge to my account for a {$11.00} charge from XXXX on a recurring charge that bills thru PayPal. I immediately called XXXX and they stated that I was afforded a "" XXXX time courtesy '' earlier in the year. 

I contacted PayPal and ask why they did not use my secondary payment method ... ... XXXX XXXX, and I was told that when the charge was sent by ACH to XXXX XXXX, PayPal had no way to check the account balance. Therefore they would do nothing. 

XXXX XXXX said they were charging the NSF fee because they provided a service in returning the charge. XXXX XXXX had paid the charge of {$11.00} to XXXX. On my PayPal statement it shows paid. XXXX XXXX stated that it would take XXXX days for the charge to reverse. 

XXXX XXXX computer triggers a NSF to PayPal, knowing that I have opted out of "" Overdraft Protection ''. XXXX XXXX then informs me that they are charging me for a "" administrative handling fee ''. 

PayPal says they have no way of knowing if the account has a positive balance or not and therefore I am at fault for the charges even though I have XXXX XXXX as a backup funding source. 

While XXXX XXXX generate over XXXX XXXX dollars in overdraft and NSF fees each year, I can understand how they would try and circumvent the "" Overdraft Protection Opt Out '' so they could charge the {$36.00} fee. 

PayPal does not allow a customer to remove their bank accounts or bank cards from their system and use the following charge sequence:XXXX Default Payment Methods. When you make a payment, if you have not selected a Preferred Payment Method, PayPal will fund your transaction in this order : a. Balanceb. Instant Transfer from your bank accountc. PayPal Creditd. PayPal Cardse. Debit cardf. Credit cardg. eCheckYou give PayPal the right to resubmit any ACH debit you authorized that is returned for insufficient or uncollected funds. No consumer knows this as it is hidden in their TOS and if you do not accept the TOS then you can not open a PayPal account. 

PayPal will then use your bank account as the primary source of funding regardless if you have chosen a credit card as your primary payment method. By moving the credit card to the bottom of the charge sequence, PayPal avoids the credit card fee thus improving their bottom line. 

I utilized the "" Overdraft Protection Opt Out '' with the express intent of AVOIDING any bank charges beyond the {$6.00} they charge each month because I will not deposit thousands of dollars in this particular account. Obviously XXXX XXXX wants my {$36.00} really bad and will do most anything to get it. 

I find it ironic that XXXX XXXX touts their "" ETHICS ''. I would suggest that XXXX XXXX is void of "" ANY ETHICS '' if they will stoop the the lows they have exhibited in regard to this fiasco. 

If both XXXX XXXX and PayPal are doing this to me, you can bet they are doing this to millions of others too. XXXX can only imagine the "" XXXX '' of dollars they are making on these unscrupulous business practices. 

While I expect nothing to happen, hopefully enough people will stop doing business with these XXXX "" modern day XXXX XXXX '' collective of thieves. But then one can only dream. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",MO,644XX,Older American,Consent provided,Web,05/18/2015,Closed with explanation,Yes,No,1379818
05/18/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"I found and contacted the seller of a XXXX for {$1200.00} on XXXX on or about XXXX XXXX, 2015. The seller is listed as : XXXX XXXX, XXXX XXXX XXXX XXXX, XXXXXXXX XXXXAfter a series of communications, the seller gave me an XXXX Payments Order ID XXXX, asked that I send the purchase price through MoneyGram to that company 's attorney, XXXX XXXX, XXXX XXXX XXXX, XXXX, XXXX XXXX. This was done on XXXX XX/XX/2015. 
I learned that the funds were picked up by XXXX XXXX in XXXX XXXX on XXXX XXXX. 
I have sent a number of emails to XXXX XXXX asking for a status report with no response. 
I want to knowXXXX Is this a scam or not,XXXX If yes, how do I get my money back? 
XXXX How can we stop this experience help stop future scams 
",,MoneyGram,TN,381XX,,Consent provided,Web,05/18/2015,Closed with explanation,Yes,No,1380493
06/11/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"opened a account with pay pal and attached my checking account to the XXXX. the money was taken out of my savings. I have filed account with paypal they state it is not their fault. Also I have a pay pal XXXX which was closed because XXXX of my payments did not go threw. I make my payments threw pay pal and my back up is my bank account. Because of the money being taken out of the wrong account and nsf charges their was not enough funds. I sent documentation to XXXX showing all the issues and the reason it happened. Also gave them a letter from bank stating their were funds in the account. They will not reopen. The issue is on the ACH paperwork which is attached. wrong coding was used the complete bank account was not used. Please see attached pw 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",GA,300XX,,Consent provided,Web,06/16/2015,Closed with explanation,Yes,Yes,1416062
06/08/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"My complaint is against Paypal. Back in 2001 I was on a Paypal account which had a chargeback. Since then the company I left the company I had been working with and set up my own Paypal account. About 10 years later, Paypal took away my personal account and stole the money that was in it at the time ( XXXXXXXXXXXX ). I have tried to work with them since then and their representative told me, and I quote "" you are simply XXXX ''. I ask for the help of the CFPB here. I did file a XXXX statement when they stole the money which I will attach to this complaint. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",NV,895XX,,Consent provided,Web,06/08/2015,Closed with non-monetary relief,Yes,No,1410332
06/11/2015,Money transfers,Domestic (US) money transfer,Wrong amount charged or received,,"Wells Fargo on direct deposit advances they stopped such transactions and can charge one with a XXXX fee it could be more if one ca n't add funds to ones account! 
",Company chooses not to provide a public response,Wells Fargo & Company,CA,934XX,,Consent provided,Web,06/11/2015,Closed with monetary relief,Yes,No,1417046
06/16/2015,Money transfers,International money transfer,Money was not available when promised,,"On XXXX, XXXX, 2015 I sent for my mother in XXXX {$290.00} by Western Union. 
On XXXX, XXXX, 2015 my mother could not pick up the money because happened some mistake. So, I called Western Union reported what was going on and they said that in 9 business day they would give me an answer about an investigation on the case that they would do. 
They took around 3 weeks to give an answer after many attempt mine. 
On XXXX, XXXX, 2015, after words, they recognize that happened a mistake and they would refund the money for receiver - which was my mom. They gave me a new tracking number, as well. My mother just went in the bank and the money still not available for pick up! 
There is more than 30 days that I am trying solve it and they just say that the money is available, when it is n't! Or they say for I just wait more 3 business days!! XXXX WHAT?? ) It looks like they are just gaining time for I loose my rights!!! 
",,The Western Union Company,NJ,076XX,,Consent provided,Web,06/16/2015,Closed with explanation,Yes,No,1424237
06/11/2015,Money transfers,International money transfer,Other transaction issues,,"On XXXX/XXXX/2015 I have made a money transfer to XXXX through WESTER UNION service for {$120.00} plus XXXX fee charge. Making a total of XXXX using my debit card XXXX XXXX XXXX. 
But them I call them right away to make this transfer to be canceled, they have pomiise meThey will returned my money into my bank account, I wait for my refund that never happened I have make several calls to them they said they are working on this issued Also they said my refund will be on my checking account in XXXX hours .but nothing has been doneSo can you please help me with this situation 
",,The Western Union Company,NY,104XX,,Consent provided,Web,06/11/2015,Closed with explanation,Yes,No,1417107
06/12/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"I went to see an apt that i wanted to rent from whom i thought was a realtor. She explained to me what steps to take to deposit my money into the owners bank account to hold the apt for myself. After i deposited the amount i needed and sent her confirmation she said she would call me back and set up a time for the next day to sign a lease agreement. After a few hours my phone calls would go straight to voicemail and now I 'm trying to get my deposit back from this scammers account. 
",Company chooses not to provide a public response,Bank of America,NV,890XX,,Consent provided,Web,06/12/2015,Closed with explanation,Yes,No,1418268
06/28/2015,Money transfers,Domestic (US) money transfer,Money was not available when promised,,"My sister in Iowa purchased a reload it money pack in the amount of {$150.00} to be transferred to my XXXX card. Reloadit.com requires customers to establish what they call a "" safe '' for fast secure money transfers. It has now been 48 hrs and I have yet to receive access to my funds. I have rudely been advised by reloadit.com 's customer service that they are experiencing technical difficulties with no ETA of when it will be resolved. This was an emergent situation and my family has had to suffer without food and now possibly electricity because of not receiving timely funding. 
",,Blackhawk Network Holdings Inc.,TX,752XX,,Consent provided,Web,07/02/2015,Closed with explanation,Yes,No,1441769
06/12/2015,Money transfers,International money transfer,Fraud or scam,,"I was contacted by a repair company that did some work on my computer. they sad theywere going out of business in the US and they wanted to refund the money that I paidto them. If that was alright, All they needed me to do was to do was send a moneytransfer to XXXX with money they were going to deposit in my account. they deposited {$1300.00} in my savings account, I was to make a transfer funds to XXXX. for $ XXXXXXXXand keep the balance to pay for any fee 's. I checked with my bank to see how muchmoney was in the above accounts, I had not what I should have had. I tried to contactthem and got no response. 
",,The Western Union Company,NV,895XX,Older American,Consent provided,Web,06/12/2015,Closed with explanation,Yes,No,1419194
06/18/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"When Paypal took over Bill Me Later, I was not notified and they let me charge XXXX dollars over my limit without ever notifying me the account was taken over by them and I had gone over my limit. When I found out, and I can not remember when or how, someone had already stolen XXXX dollars from my checking acct. That was refunded but they refused to do anything about the overage of credit. The reputable credit card companies would not let have let you do this. Paypal paid the other fraudulent charges also and they even sounded fraudulent ( which was the thing ) .When I complained, about the credit they had given me without my knowledge they closed he virtual account, and now I have no access to any documents to either Bill Me later Or Paypal. to know when this happened and how much and when I went over. Now I am paying thousands of dollars of interest on goods purchased that I can not send back.. I am also XXXX after 34 years and will have difficulty paying back. They called this am and told me I did no pay last month 's bill which I have been paying them over the phone. I will check on that so I paid up through XXXX. If I check my statement and I have paid it, I will complain about that. It would not be impossible to have missed it due to XXXX but I again told them I did n't get my statement. It really made angry. I believe they are dishonest. 
",,"PayPal Holdings, Inc.",TX,757XX,,Consent provided,Web,06/18/2015,Closed with explanation,Yes,Yes,1427985
06/05/2015,Money transfers,International money transfer,Wrong amount charged or received,,"After deciding to pay for an international wire transfer from my online BofA checking acct. instead of using my debit card in order to avoid a 3 % of total amount per scheduled fee ( about {$200.00} ), I submitted an amount XXXX ( XXXX ) quite aware that the foreign exchange rate the bank used might be less favorable to me than around XXXX {$5700.00} ( via XXXX inquiry at the time ) but was totally shocked with over {$5900.00} and an untimely advice that "" Bank of America, N.A., may make money from the foreign currency exchange. '' This figure was n't shown until after a warning in the submission form that the exchange rate ( whatever that was XXXX would only be valid within 10 minutes so I had to hurry up and subject myself to whatever extra charges they could get away with. No international wire fee XXXX {$35.00} XXXX and no exchange rate transparency nor disclosures before submitting the form! Customer beware! 
",Company chooses not to provide a public response,Bank of America,GA,305XX,,Consent provided,Web,06/05/2015,Closed with explanation,Yes,No,1407343
06/10/2015,Money transfers,International money transfer,Other transaction issues,,"I sent money to the bank XXXX XXXX XXXX in XXXX to buy a house with XXXX XXXX in XXXX. The date of this international wire transfer was XX/XX/XXXX. This company/Realty Agency, XXXX XXXX, said that they received the money of {$130000.00} ( in XXXX XXXX ) on XX/XX/XXXX, but they returned that amount to me on XXXX. The reason for the Return/Devolucin was : they wanted me to send it again to another account ( the one that I opened in XXXX as a XXXX ). I am an American citizen and the bank from were I did the international wire transfer on XX/XX/XXXX is TD Bank. 

I have no way to know for sure if what the Realty Agency XXXX ( represented by XXXX ) says is true. I have a letter from them, but how can I tell if this document is real? According to XXXX, the return of the money ( XXXX ) really happened, but the bank XXXX in XXXX, XXXX, ca n't tell her were it is. The bank XXXX ca n't trace it have not been very helpful in this matter. For this same reason, XXXX, from the XXXX XXXX, ca n't give me any information and certainty about date when I will get the money of the Return. Direct Consequence of this, I ca n't go to XXXX for the closing of the house. 

Here some information of the bank in XXXX, XXXX and in regards to the recipients account in XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX ; Recipient 's Account : XXXX ) I called to XXXX in XXXX, XXXX, today XX/XX/XXXX, because I started to feel very nervous ( You never know if the people involved in this transaction can be involved in some criminal activity. I hope not, but ... ) I told to the XXXX bank in XXXX that I was a customer and that I have a document Letter of Return/XXXX to see if I could trace the money. They said to me that they ca n't do a trace. I try every kind of argument ; I try to find more help, such as finding an office from the bank XXXX in XXXX that deals with urgent matters like mine, or with an untraceable international wire transfer. 

In the other hand, here in NY, after XXXX attempts with the TD Bank from XXXX, from were I did the transfer on XX/XX/XXXX, I decided to go to a different TD Bank, XXXX close to my job in XXXX. I went today XX/XX/XXXX to the TD Bank in XXXX XXXX and XXXX XXXX. Finally, on my XXXX attempt trying to get some hope and information, this branch in XXXX were able to do a Request and investigation regarding this international wire transfer ( XX/XX/XXXX ) and possibly about the Return of that sume of {$130000.00} ( XX/XX/XXXX ). The people who helped me are XXXX XXXX and XXXX ( XXXX XXXX XXXX ). The information related to the request of investigation to trace the money is : XXXX ; XXXX XXXX is in charge of this case. Here phone XXXX ) Both banks CA N'T TELL ME RIGHT NOW WHERE THE MONEY IS. PLEASE, HELP ME TRACING IT IN CASE SOMETHING CRIMINAL IS HAPPENING WITH REALTY COMPANY, XXXX XXXX in XXXX, XXXX. Thank you 
",,TD Bank US Holding Company,NY,112XX,,Consent provided,Web,06/12/2015,Closed with explanation,Yes,No,1414093
06/16/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"I transferred money through XXXX and never received my money in return 
",Company believes it acted appropriately as authorized by contract or law,"Garden State Check Cashing Service, Inc.",NJ,071XX,,Consent provided,Web,07/13/2015,Closed with explanation,Yes,No,1422754
06/16/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"My name is XXXX XXXX XXXX XXXX XXXX I currently reside at XXXX XXXX XXXX # XXXX in XXXX XXXX XXXX XXXX. I have been victimized on XXXX after applying for a Call Center Associate position job on XXXX XXXX, 2015 at an XXXX located in XXXX XXXX, XXXX. I received an email from XXXX XXXX ( Human Resources Associate ) at XXXXXXXXXXXX on Tuesday XXXX XXXX, 2015 confirming my resume '. An interview was set for Tuesday XXXX XXXX 2015 between XXXX yahoo XXXX XXXX XXXX ID : ( XXXX ). I was also given in the email instructions the hiring manager email ( XXXXXXXXXXXX ) if I needed to schedule another appointment. A Verification/Hiring code was given to me "" XXXX. '' The identification number served as an identification number I was told by XXXX XXXX. An interview took place with XXXX XXXX in a chat room on XXXX XXXX with XXXX XXXX hiring manager of ( XXXX XXXX XXXX. ) He requested my physical address to mail a cashier check for the amount of {$2800.00} via USPS tracking number ( XXXX ) but a stop was placed by XXXX and XXXX was sent from : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX on XXXX XXXX, 2015 tracking number ( XXXX ) this package had cahiers check # XXXX from XXXX XXXX XXXX XXXX for ordering supplies for the call center job. I was asked to deposit the check via chat which took place on XXXX XXXX. XXXX wanted a copy of the deposit receipt. On XXXX XXXX via chat I was asked to send funds of {$1000.00} using Money Gram he asked for the reference number which was XXXX. Then I was asked to go to XXXX XXXX and the customer service rep. indicated she could not do the transaction it came up fraud. I told XXXX it was fraud and he still wanted me to go back to Money Gram to wire more money for supplies. I went as instructed by this potential employer and deposited {$1100.00} at Money Gram with the reference number XXXX. 
Another XXXX package from XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX. 
The package included a cashiers check # XXXX from XXXX XXXX XXXX XXXX XXXX for {$4300.00} on behalf of the hiring company. It was deposited as well. However, XXXX was notified to put a hold on this transaction due to fraud. The hold is suppose to be lifted by XXXX/XXXX/15. 
A dispute was filed with CFPB Case XXXX. The Bank XXXX XXXX XXXX said : Explanation of closureOn XXXX XXXX, 2015, you deposited a check for {$2800.00} in to your account. The check was returned as altered or fictitious and subtracted from your balance on XXXX XXXX. The returned item did n't cause an overdraft on your account. When you deposit or cash a check, you are responsible for that item. While we recognize the financial strain you may endure, we found this is not a situation in which we would issue you a credit. 
You may want to report the scam to the Federal Trade Commission online at ftc.gov or by calling them at XXXX to file a complaint. 
At this time I am in disagreement with XXXX regarding my responsibility for a SCAM caused by a Potential Employer. I would like to now allow Money Gram and XXXX XXXX to respond to this SCAM as to where the money was wired to Whom, Where, When, and Time. 
The following Reference numbers are linked to this SCAM : XXXX XXXX ( No Reference # ) *Western Union refused to complete transaction*Money Gram Reference # 's and amount of transactions in XXXX. XXXX {$510.00} ( fees included ) 2. XXXX {$1000.00} ( fees included ) 3. XXXX {$1100.00} ( fees included ) At this time I am asking for a response from all Wire Transfer Companies. 
",,MoneyGram,LA,701XX,,Consent provided,Web,06/16/2015,Closed with explanation,Yes,Yes,1424443
06/20/2015,Money transfers,International money transfer,Other transaction issues,,"i need to transfert a money like international transfert money to XXXX to take a bank 
",Company believes it acted appropriately as authorized by contract or law,Ria Financial,OH,432XX,,Consent provided,Web,06/20/2015,Closed with explanation,Yes,No,1428822
06/25/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,"My family members and I have had a terrible experience with this company. This company has proven that it does not care about its customers. Since it is obvious that I am not going to get any assistance from this company I am writing this in every place that I can think of to help other consumers avoid the mistake that my family made. There are similar companies like XXXX XXXX that will offer you the same services but with a much better outcome. 

My mother sent me a money gram and it was impossible to pick it up. She went to the store and told me that I needed to pick it up within 90 days and that I should pick it up yesterday. At the store she sent it at, they told her that it would not be a problem for me to pick it up yesterday and even if it was after 90 days I could just call MoneyGram and they would assist me with picking it up at whatever time I needed it. 

On yesterday, I went to CVS to pick the money up. I used the kiosk and spoke to a money gram customer service agent ; he was rude and so were all of the other agents I spoke with. Furthermore, he purposely took down my license number incorrectly. He repeated the things that I said so I know that I gave him the right license number. He told me that I would be able to receive the money and to pick it up from the CVS cashier. The CVS cashier told me that I could not receive the money because there was a block on the money and because my license number was written down wrong. So I went back to the kiosk to call the money gram customer service officials again and the individuals kept hanging up. This kept going on for over XXXX hours. I would call, they would hang up immediately, put me on hold, transfer me, give me the wrong information, yell at the CVS store clerk and blame the problem on him, and/or eventually hang up with no assistance to me. There was XXXX guy who was exceptionally rude and he refused to give me his name. He constantly kept hanging up on me. I think his behavior is extremely unprofessional and he should be fired. Basically, I spent hours trying to reach customer service agents and they refused to assist me. The store clerk was there to witness this. I was in a store alone until XXXX and I had to walk back to my apartment by myself ; my elderly XXXX mother who is in a different time zone was up until XXXX in the morning worried about everything. 

I know that this was very unprofessional and just plain rude and they just did not want to release the money. I think that this is unacceptable and something should be done about this. MoneyGram it would be very considerate of you if you realize that your consumers are human and you treat them as such. Furthermore, consumers please be wary of this company. 
",,MoneyGram,CA,900XX,,Consent provided,Web,06/25/2015,Closed with monetary relief,Yes,No,1437492
07/05/2015,Money transfers,Domestic (US) money transfer,Money was not available when promised,,"In XXXX 2015, I received XXXX separate deposits of {$100.00} each on the same day to my paypal account. I immediately requested the total amount of {$200.00} to be transferred from my paypal account to my checking account. It is months later and I still do not have the {$200.00}. I reached out to paypal numerous times by phone and email to try to resolve this issue and still have no resolution. I just want my money. I have even had successful transactions since so there is n't an issue with my accounts nor my account numbers. They are in violation of the California state 's Money Transmission Act section 1841 which reads : '' Every licensee or its agent shall forward all money received for transmission or give instructions committing equivalent money to the person designated by the customer within 10 days after receiving that money, unless otherwise ordered by his or her customer. '' 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",MI,495XX,,Consent provided,Web,07/05/2015,Closed with explanation,Yes,Yes,1451467
06/30/2015,Money transfers,International money transfer,Fraud or scam,,"a wire transfer of funds was sent from my account on XXXX/XXXX/2015 ( thru citizens bank ) to XXXX for rental of a condo at XXXX in XXXX fl.a day after I discovered it was a scam and went to citizens bank and had the wire cancelled or reversed on XXXX/XXXX/2015. the scamer sent an e-mail on Friday XXXX/XXXX/2015 to tell me his bank told him funds would not be available until Monday XX/XX/2015.since I cancelled before XXXX/XXXX/2015 and citizens wire contract states that I have until XXXX/XXXX/2015 to cancel, why was n't it stopped. what are my rights.i have n't heard anything from citizens bank. 
",,"Citizens Financial Group, Inc.",NY,144XX,,Consent provided,Web,06/30/2015,Closed with explanation,Yes,No,1445633
07/06/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"A funds transfer in the amount of XXXX was made from my checking account ending in XXXX to Google Wallet account, canceled within a minute. However, the funds were still taken out of XXXX Bank account, causing an overdraft. A fee in the amount of XXXX is charged for for this, the item was paid. XXXX Bank will not refund this as it is not their error. The email address associated with Google Wallet is XXXXXXXXXXXX 
",,Google Inc.,CT,063XX,,Consent provided,Web,07/06/2015,Closed with explanation,Yes,Yes,1451686
07/07/2015,Money transfers,International money transfer,Incorrect/missing disclosures or info,,"1. Wester Union have money transfer program from a Bank account to Bank Account for no charge but it never works. 
2. Alternatively you will pay {$5.00} for money to be picked up at Western Union. Once I did that it put money on hold, and is asking for receiver scanned photo ID, which if I knew before committing to transaction would have canceled it. Now Western Union will not cancel the transaction without a written letter of explanation. 
",,The Western Union Company,FL,330XX,,Consent provided,Web,07/07/2015,Closed with explanation,Yes,No,1455474
07/01/2015,Money transfers,International money transfer,Other transaction issues,,"Trying to get my money refunded. Sent money through MoneyGram, receiver did not get paid. Walmart tried to help but their call with MoneyGram was cut off. The only reason MG gives is that "" it is under review ''. It takes about XXXX mins to get a live assistance on their XXXX number, IF lucky to get someone, the call is cut off after a few minutes. Money was sent using the "" XXXX minute '' delivery service on XXXX XXXX. 
",,MoneyGram,MI,483XX,,Consent provided,Web,07/01/2015,Closed with monetary relief,Yes,No,1447358
